id;member_id;inviter_id;first_name;email_address;relationship_to_inviter;permission;status;status_tlm;when_created
1;32320;21876;Joshuah;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;NONE;INVITED;2019-10-17T09:36:06;2019-10-17T03:42:26
2;34507;90826;Lorenza;Canadian Dollar;Berkshire Designer;NONE;PENDING;2019-10-17T04:41:30;2019-10-17T04:34:59
3;72821;80313;Fredy;invoice withdrawal;bypassing optical;NONE;ACTIVE;2019-10-16T13:47:40;2019-10-16T20:12:49
4;32595;67756;Dakota;firewall;Future-proofed deposit Sausages;EDIT;INACTIVE;2019-10-16T13:20:20;2019-10-16T17:41:46
5;25794;22855;Magdalena;parsing;Borders content-based;NONE;INVITED;2019-10-16T17:35:11;2019-10-16T16:58:19
6;84666;89711;Russel;drive THX bypassing;Cheese Dynamic Home Loan Account;EDIT;PENDING;2019-10-16T21:13:31;2019-10-16T22:44:25
7;69189;44842;Macie;Devolved driver Networked;Fish;NONE;INVITED;2019-10-16T22:11:00;2019-10-17T01:34:11
8;63633;26520;Demarcus;Wisconsin;target Human withdrawal;NONE;INACTIVE;2019-10-17T09:48:40;2019-10-16T15:56:59
9;64547;4360;Charlie;Applications Response Human;back up Factors;NONE;ACTIVE;2019-10-17T03:03:29;2019-10-17T01:09:09
10;19091;85113;Domenick;Bedfordshire;Maryland Configuration;EDIT;INVITED;2019-10-16T13:20:17;2019-10-17T02:39:13
